,target,text
1978,ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
3989,spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
3935,ham,They r giving a second chance to rahul dengra.
4078,ham,O i played smash bros  &lt;#&gt;  religiously.
4086,spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
4919,ham,"G says you never answer your texts, confirm/deny"
2268,spam,88066 FROM 88066 LOST 3POUND HELP
4696,ham,"Okey dokey, iÛ÷ll be over in a bit just sorting some stuff out."
3653,ham,Why i come in between you people
70,ham,Wah lucky man... Then can save money... Hee...
4467,ham,Much better now thanks lol
2418,ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
2623,ham,I'm coming home 4 dinner.
1272,ham,Ok...
1454,ham,Can Ì_ all decide faster cos my sis going home liao..
831,ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx
5082,ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
1893,ham,Good Morning plz call me sir
3269,ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
238,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
5426,ham,Oh yeah! And my diet just flew out the window
4867,ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
3435,ham,If india win or level series means this is record:)
5542,ham,Armand says get your ass over to epsilon
1295,ham,TELL HER I SAID EAT SHIT.
2998,ham,"Oh, then your phone phoned me but it disconnected"
1001,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
1512,ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
4370,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
3458,spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net
2350,ham,You will be in the place of that man
957,ham,Welp apparently he retired
2229,ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
4301,ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
2240,ham,K I'll call you when I'm close
1437,ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
5351,ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
1876,ham,Watching tv now. I got new job :)
2094,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
2655,ham,Great! I have to run now so ttyl!
3482,ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
1034,ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
4764,ham,if you text on your way to cup stop that should work. And that should be BUS
931,ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
5087,ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
2902,ham,Tell me pa. How is pain de.
633,ham,Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.
2451,ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
498,ham,"Kate jackson rec center before 7ish, right?"
4935,ham,K..k.:)congratulation ..
415,ham,Whatsup there. Dont u want to sleep
2698,spam,FROM 88066 LOST å£12 HELP
2855,ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
3727,ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
1426,ham,Ok...
757,ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
1194,ham,Ok... C ya...
1041,ham,I'm in class. Will holla later
1777,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
2572,ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
2699,ham,Oh baby of the house. How come you dont have any new pictures on facebook
2168,ham,Thx. All will be well in a few months
596,ham,Gud mrng dear have a nice day
1919,ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
2763,ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
2807,ham,Yes princess! I want to catch you with my big strong hands...
652,ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
5151,ham,No problem with the renewal. I.ll do it right away but i dont know his details.
3024,ham,"What part of \don't initiate\"" don't you understand"""
3271,ham,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
4113,ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
1406,spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
1618,ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible
75,ham,I am waiting machan. Call me once you free.
1964,ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
3336,ham,I AM AT THE GAS STATION. GO THERE.
3842,ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
5358,ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
4510,ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
2410,ham,Ok... Thanx... Gd nite 2 Ì_ too...
2988,spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
2164,ham,"Nothing really, just making sure everybody's up to speed"
3085,ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
1010,ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
1029,ham,"Its good, we'll find a way"
1745,ham,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
828,ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
1345,ham,Que pases un buen tiempo or something like that
96,ham,Watching telugu movie..wat abt u?
3807,ham,Mm you ask him to come its enough :-)
4279,spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
2977,ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?
1200,ham,Otherwise had part time job na-tuition..
621,ham,Good words.... But words may leave u in dismay many times.
566,ham,Oooh bed ridden ey? What are YOU thinking of?
543,ham,4 oclock at mine. Just to bash out a flat plan.
4100,spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
4820,ham,Im good! I have been thinking about you...
3039,ham,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..
745,ham,Dunno he jus say go lido. Same time 930.
3940,spam,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
1480,ham,Have you always been saying welp?
5314,spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50
195,ham,Gud mrng dear hav a nice day
2559,ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
1302,ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
3297,spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
802,spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
3717,ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
4638,ham,Of course. I guess god's just got me on hold right now.
1322,ham,Oh just getting even with u.... u?
3674,ham,Whos this am in class:-)
4248,ham,Loosu go to hospital. De dont let it careless.
3611,ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
4605,ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
4031,ham,I'm very happy for you babe ! Woo hoo party on dude!
644,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week
1488,ham,Tell them no need to investigate about me anywhere.
4181,spam,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
1864,ham,You call him now ok i said call him
120,spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
4486,ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
3226,ham,Wife.how she knew the time of murder exactly
2024,ham,U having lunch alone? I now so bored...
4482,ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
4329,ham,i thought we were doing a king of the hill thing there.
